pH,Fat,Lactose,Protein,Gravity,SNF,Temperature,Gas,EC,Class
5.27,4.01,7.14,5.80,40.64,12.18,28.82,57.61,3.37,Urea
5.19,3.88,7.38,5.88,40.71,12.89,27.25,58.02,3.15,Urea
4.94,3.82,7.97,5.33,40.49,12.38,28.95,57.32,3.02,Urea
4.97,4.06,7.55,5.09,41.70,12.10,26.98,59.59,3.94,Urea
5.11,3.20,7.55,5.83,40.17,12.81,27.96,65.33,3.60,Urea
5.13,3.61,7.64,5.00,40.90,12.64,28.63,66.81,3.58,Urea
5.02,4.36,7.18,5.95,41.89,12.97,27.66,64.42,3.99,Urea
5.12,3.27,7.81,5.22,40.56,12.80,27.77,60.99,3.53,Urea
4.98,3.56,7.21,5.08,40.44,12.32,29.05,62.11,3.34,Urea
4.90,3.23,7.20,5.80,40.71,12.30,28.32,64.91,3.71,Urea
5.44,3.65,7.11,5.41,40.98,12.72,27.02,66.11,3.19,Urea
5.22,3.35,7.13,5.97,40.83,12.05,28.71,61.07,3.36,Urea
5.43,3.24,7.48,5.45,40.77,12.72,27.56,61.73,3.06,Urea
5.47,3.67,7.85,5.97,40.04,12.19,27.27,63.47,3.71,Urea
5.32,3.82,7.84,5.14,41.80,12.32,28.15,66.9,3.93,Urea
5.13,3.82,7.76,5.69,40.91,12.82,27.9,59.71,3.42,Urea
5.17,3.31,7.18,5.51,41.35,12.64,28.82,57.89,3.68,Urea
5.04,3.32,7.29,5.79,41.00,12.83,27.46,57.69,3.99,Urea
4.92,4.07,7.57,5.64,40.66,12.87,28.66,62.31,3.28,Urea
4.99,4.09,7.80,5.34,40.50,12.80,27.14,60.7,3.82,Urea
4.96,4.08,7.39,5.64,41.00,12.01,28.74,63.43,3.75,Urea
5.34,3.40,7.24,5.21,41.09,12.18,28.7,59.3,3.99,Urea
5.50,4.14,7.39,5.84,40.74,12.50,27.33,65.37,3.32,Urea
5.11,3.36,7.62,5.89,40.91,12.23,28.67,57.11,3.04,Urea
5.34,3.52,7.11,5.31,40.61,12.09,26.87,61.86,3.26,Urea
5.28,3.15,7.65,5.82,40.37,12.44,29.34,56.45,3.27,Urea
5.02,3.04,7.70,5.56,40.21,12.45,29.22,64.09,3.82,Urea
5.21,3.04,7.02,5.11,41.33,12.02,26.9,54.71,3.83,Urea
4.93,4.19,7.59,5.53,40.30,12.90,28.85,56.7,3.56,Urea
5.39,3.36,7.97,5.60,40.72,12.50,28.8,58.39,3.39,Urea
5.19,4.12,7.24,5.04,41.47,12.89,27.59,55.33,3.77,Urea
5.27,4.24,7.98,5.06,41.92,12.40,27.53,60.78,3.42,Urea
5.39,3.18,7.99,5.28,40.73,12.71,29.26,60.12,3.29,Urea
5.02,3.54,7.38,5.13,40.88,12.40,27.17,59.22,3.95,Urea
5.11,3.97,7.19,5.96,41.49,12.14,28.48,56.53,3.68,Urea
5.44,3.80,7.42,5.85,41.34,12.44,28.16,60.17,3.27,Urea
5.05,4.46,7.22,5.76,40.29,12.80,27.54,61.45,3.74,Urea
5.41,3.54,7.47,5.34,41.71,12.31,28.14,60.66,3.94,Urea
4.96,4.17,7.84,5.60,41.13,12.61,28.95,62.11,3.43,Urea
5.33,3.90,7.13,5.10,41.72,12.43,28.27,60.62,3.84,Urea
5.27,4.29,7.77,5.25,40.90,12.92,27.37,60.5,3.24,Urea
5.35,3.15,7.55,5.39,41.60,12.32,28.36,66.28,3.37,Urea
5.36,3.59,7.89,5.55,40.56,12.43,27.41,55.04,3.85,Urea
5.21,3.82,7.61,5.26,41.39,12.52,28.66,64.91,3.23,Urea
5.47,3.90,7.63,5.60,40.34,12.83,28.19,58.14,3.78,Urea
5.43,4.41,7.94,5.28,40.61,12.19,28.52,55.71,3.61,Urea
5.03,3.71,7.92,5.08,41.36,12.63,27.28,61.86,3.24,Urea
5.41,3.93,7.60,5.67,41.21,12.79,29.25,61.61,3.06,Urea
4.96,4.33,7.22,5.93,41.91,12.65,29.11,63.3,3.30,Urea
5.10,3.64,7.71,5.66,41.58,12.47,28.82,60.78,3.65,Urea
5.37,4.31,7.76,5.59,41.24,12.80,29.25,63.01,3.50,Urea
5.17,3.72,7.46,5.95,41.55,12.80,27.9,60.25,3.50,Urea
5.27,3.98,7.87,5.77,41.85,12.76,28.44,64.96,3.95,Urea
5.04,4.01,7.95,5.44,41.16,12.98,28.82,60.54,3.21,Urea
5.20,3.17,7.52,5.31,41.96,12.47,27.9,58.31,3.95,Urea
4.93,3.46,7.33,5.02,40.35,12.46,27.85,54.67,3.36,Urea
5.44,3.39,7.02,5.15,41.52,12.66,28.42,59.59,3.93,Urea
5.39,4.42,7.61,5.20,41.12,12.42,28.57,62.93,3.31,Urea
5.15,3.08,7.95,5.91,40.84,12.47,28.09,61.2,3.68,Urea
5.18,3.28,7.01,5.54,41.12,12.57,27.54,65.86,3.24,Urea
5.43,4.31,7.05,5.74,40.81,12.81,27.23,64.96,3.58,Urea
4.91,4.25,7.52,5.38,41.72,12.96,26.95,63.68,3.42,Urea
5.01,3.24,7.51,5.19,40.40,12.70,27.51,60.12,3.84,Urea
5.00,3.60,7.84,5.31,40.44,12.17,28.87,62.73,3.80,Urea
5.45,4.14,7.75,5.85,40.75,12.18,28.29,59.13,3.87,Urea
5.03,3.62,7.87,5.55,40.17,12.14,28.24,54.8,3.08,Urea
5.34,3.42,7.20,5.11,41.20,12.56,28.98,61.78,3.97,Urea
5.02,4.24,7.65,5.45,41.90,12.70,29.27,55.54,3.67,Urea
5.31,3.26,7.16,5.56,40.23,12.13,28.63,58.51,3.01,Urea
5.00,3.32,7.90,5.57,41.78,12.36,28.63,57.36,3.37,Urea
5.31,3.75,7.76,5.65,41.43,12.19,27.2,61.73,3.12,Urea
5.09,3.45,7.65,5.49,40.33,12.02,27.59,64.91,3.48,Urea
5.09,3.27,7.15,5.23,40.85,12.22,28.02,60.12,3.99,Urea
5.36,3.59,7.16,5.05,40.39,12.17,29.28,64.29,3.68,Urea
4.95,3.41,7.15,5.45,40.63,12.17,27,62.44,3.24,Urea
5.21,3.99,7.72,5.09,40.31,12.96,28.68,59.59,3.41,Urea
4.95,3.32,7.91,5.57,41.62,12.21,27.25,55.79,3.47,Urea
4.99,3.74,7.48,5.29,40.79,12.97,27.37,58.55,3.09,Urea
5.07,3.31,7.19,5.99,41.57,12.57,27.92,57.65,3.55,Urea
5.34,3.47,7.30,5.47,40.40,12.49,28.59,55.83,3.06,Urea
4.92,3.91,7.55,5.78,41.48,12.10,27.58,55.66,3.16,Urea
5.41,3.47,7.57,5.09,41.62,12.54,29.09,64.91,3.76,Urea
5.39,4.15,7.86,5.96,41.67,12.97,27.21,65.95,3.72,Urea
5.17,3.25,7.97,5.87,40.07,12.08,28.97,66.48,3.69,Urea
5.37,3.43,7.47,5.78,41.76,12.71,28.88,55.33,3.09,Urea
4.93,4.08,7.64,5.97,40.89,12.59,27.17,60.21,3.02,Urea
5.10,3.33,7.51,5.19,41.52,12.64,27.32,66.69,3.12,Urea
4.95,4.15,7.18,5.62,41.40,12.50,27.53,66.57,3.64,Urea
5.37,3.41,7.90,5.73,40.81,12.99,28.4,60.62,3.77,Urea
5.25,4.04,7.39,5.68,41.25,12.41,27.59,60.83,3.72,Urea
5.03,3.34,7.40,5.07,41.80,12.94,27.71,62.31,3.81,Urea
5.47,3.62,7.72,5.33,41.05,12.76,27.98,60.45,3.76,Urea
5.23,3.85,7.47,5.84,40.19,12.03,29.22,55.91,3.99,Urea
5.05,4.28,7.08,5.40,40.87,12.52,28.98,65.82,3.36,Urea
5.35,3.55,7.79,5.25,41.59,12.61,28.16,55.99,3.63,Urea
4.92,4.15,7.45,5.33,40.54,12.15,27.04,62.64,3.10,Urea
5.26,4.33,7.94,5.54,41.92,12.85,28.02,57.73,3.04,Urea
5.48,3.76,7.55,5.13,40.73,12.31,27.28,62.31,3.01,Urea
5.45,3.60,7.19,5.54,41.51,12.05,27.83,65.08,3.11,Urea
5.49,3.85,7.88,5.91,40.85,12.75,28.23,56.28,3.04,Urea
5.10,4.31,7.61,5.83,41.80,12.55,28.4,58.1,3.64,Urea
5.11,4.12,7.36,5.40,41.82,12.22,29.18,59.13,3.34,Urea
5.28,3.83,8.00,5.23,40.30,12.91,29.32,58.64,3.08,Urea
5.03,4.05,7.36,5.93,41.94,12.18,28.31,59.09,3.59,Urea
5.20,3.52,7.23,5.01,40.76,12.11,28.12,65.86,3.98,Urea
5.22,3.13,7.20,5.33,40.32,12.34,28.11,54.71,3.10,Urea
5.22,3.64,7.56,5.57,40.08,12.91,28.76,65.08,3.76,Urea
5.38,4.40,7.01,5.57,41.09,12.47,28.14,66.44,3.01,Urea
5.32,3.86,7.11,5.61,40.80,12.60,27.14,62.11,3.90,Urea
5.10,4.35,7.64,5.15,40.67,12.37,29.27,58.43,3.97,Urea
5.10,4.40,7.39,5.55,40.07,12.04,27.68,63.59,3.24,Urea
5.15,3.95,7.32,5.67,41.36,12.72,28.82,60.41,3.99,Urea
5.08,3.44,7.01,5.58,41.39,12.34,28.19,63.88,3.71,Urea
4.96,4.44,7.49,5.05,41.41,12.44,26.81,60.74,3.37,Urea
5.11,4.03,7.94,5.51,41.61,12.74,27.27,55.95,3.67,Urea
5.33,3.42,7.48,5.24,40.04,12.11,29.32,66.65,3.64,Urea
5.23,3.33,7.43,5.63,41.69,12.85,29.31,63.96,3.11,Urea
5.39,4.46,7.81,5.65,41.18,12.60,26.85,64.67,3.60,Urea
5.04,3.97,7.07,5.57,41.10,12.29,28.02,55.5,3.32,Urea
5.44,3.67,7.59,5.27,41.02,12.51,28.76,54.8,3.78,Urea
5.49,3.53,7.62,5.76,41.25,12.13,28.83,58.68,3.48,Urea
5.49,3.53,7.44,5.52,41.16,12.46,27.71,60.66,3.96,Urea
5.28,4.27,7.94,5.57,41.81,12.71,27.04,55.54,3.74,Urea
5.09,3.93,7.29,5.79,40.06,12.97,27.96,64.87,3.26,Urea
5.07,3.82,7.96,5.84,41.44,12.90,27.89,63.51,3.95,Urea
5.18,3.32,7.98,5.60,40.09,12.98,29.17,63.1,3.61,Urea
5.00,3.56,7.20,5.29,41.07,12.46,28.62,63.18,3.58,Urea
5.46,3.42,7.17,5.84,41.08,12.71,27.73,55.95,3.09,Urea
5.46,3.11,7.53,5.42,40.05,12.81,27.62,61.36,3.59,Urea
5.33,3.06,7.62,5.36,41.40,12.19,27.23,57.36,3.26,Urea
5.31,4.49,7.11,5.11,41.64,12.56,27.59,57.32,3.39,Urea
5.26,4.04,8.00,5.60,41.65,12.04,28.45,57.19,3.21,Urea
5.18,3.22,7.35,5.50,40.17,12.46,27.36,66.61,3.52,Urea
5.00,4.26,7.72,5.42,41.40,12.32,28.41,65.7,3.75,Urea
4.92,4.39,7.72,5.97,41.09,12.90,27.72,62.02,3.83,Urea
5.09,3.85,7.04,5.84,41.76,12.33,26.98,56.41,3.30,Urea
5.26,3.19,7.13,5.58,40.59,12.34,27.1,63.47,3.77,Urea
5.26,4.03,7.24,5.63,40.47,12.67,28.4,55,3.02,Urea
4.93,3.21,7.99,5.79,40.42,12.40,26.89,56.99,3.60,Urea
5.21,4.14,7.93,5.98,40.40,12.85,27.38,65.2,3.81,Urea
5.45,3.22,7.57,5.33,41.84,12.59,26.86,58.18,3.39,Urea
5.37,3.24,7.16,5.50,41.37,12.75,27.37,65.41,3.94,Urea
5.28,3.21,7.88,5.58,40.51,12.39,27.1,57.27,3.24,Urea
5.49,4.45,7.99,5.91,41.23,12.44,29.18,65.74,3.47,Urea
5.26,4.01,7.38,5.19,40.70,12.23,28.03,63.3,3.76,Urea
5.35,3.39,7.39,5.07,40.07,12.28,28.49,61.73,3.97,Urea
5.44,3.86,7.86,5.10,40.04,12.92,29.15,66.36,3.83,Urea
5.46,4.17,7.70,5.61,41.91,12.45,28.84,61.24,3.34,Urea
5.05,4.27,7.49,5.61,41.17,12.78,29.15,66.52,3.11,Urea
5.49,3.82,7.18,5.42,41.15,12.33,29.28,63.55,3.43,Urea
5.22,3.91,7.02,5.19,40.39,12.03,27.45,57.73,3.65,Urea
5.06,3.96,7.88,5.71,41.77,12.64,26.77,66.61,3.67,Urea
5.22,4.50,7.27,5.20,40.21,12.39,27.08,57.32,3.00,Urea
5.42,4.42,7.39,5.32,40.35,12.49,28.79,65.16,3.03,Urea
5.46,3.96,7.00,5.96,40.62,12.32,27.43,63.34,3.33,Urea
5.15,4.25,7.19,5.47,41.29,12.04,28.59,65.41,3.65,Urea
5.05,4.42,7.16,5.99,41.67,12.68,28.26,55.04,3.84,Urea
5.32,4.06,7.72,5.77,41.83,12.71,26.84,60.04,3.49,Urea
5.31,4.26,7.46,5.26,41.97,12.50,27.59,56.12,3.05,Urea
5.33,4.26,7.38,5.09,41.46,12.61,28.74,55.79,3.37,Urea
5.13,3.29,7.70,5.97,41.82,12.67,28.91,63.72,3.17,Urea
5.26,4.08,7.96,5.28,40.28,12.00,28.65,65,3.91,Urea
5.18,3.44,7.24,5.28,41.36,12.08,27.8,66.36,3.98,Urea
5.17,3.91,7.28,5.72,40.84,12.11,28.71,61.86,3.65,Urea
5.05,3.03,7.57,5.17,40.62,12.09,29.26,58.35,3.57,Urea
5.20,3.12,7.24,5.31,40.09,12.80,29.13,60.5,3.98,Urea
5.08,4.21,7.18,5.25,40.54,12.47,28.88,64.71,3.22,Urea
4.96,3.57,7.12,5.44,40.08,12.71,29.38,61.69,3.05,Urea
4.92,3.44,7.87,5.94,40.47,12.95,28.65,64.96,3.80,Urea
5.25,4.44,7.24,5.09,40.42,12.88,28.29,65.91,3.02,Urea
5.10,3.70,7.65,5.96,41.62,12.25,27.21,55.09,3.36,Urea
5.35,4.09,7.41,5.80,41.86,12.70,28.19,59.67,3.83,Urea
5.00,3.04,7.31,5.38,40.62,12.55,28.27,65.33,3.72,Urea
5.03,4.05,7.23,5.56,41.26,12.29,27.2,63.43,3.54,Urea
5.02,3.09,7.20,5.34,41.67,12.36,28.95,56.08,3.89,Urea
5.28,3.11,7.25,5.97,40.37,12.42,27.73,64.17,3.55,Urea
4.97,3.22,7.64,5.33,41.58,12.11,28.03,63.1,3.90,Urea
5.01,3.96,7.81,5.86,41.38,12.10,26.8,62.31,3.39,Urea
5.23,3.19,7.80,5.10,40.53,13.00,27.28,66.07,3.96,Urea
4.91,3.59,7.82,5.42,41.42,12.71,27.63,61.65,3.12,Urea
4.94,4.40,7.89,5.65,40.21,12.36,28.48,55.87,3.57,Urea
5.07,3.28,7.19,5.66,41.22,12.35,27.62,57.73,3.30,Urea
5.21,4.35,7.68,5.22,41.90,12.30,27.73,56.9,3.00,Urea
5.16,3.38,7.48,5.39,40.41,12.73,28.26,63.63,3.67,Urea
5.19,4.12,7.29,5.84,40.55,12.59,27.59,56.49,3.34,Urea
5.06,3.11,7.13,5.14,41.72,12.63,27.41,62.11,3.39,Urea
5.23,3.88,7.51,5.29,41.98,12.52,27.56,66.61,3.68,Urea
5.05,3.59,7.80,5.82,40.58,12.59,28.22,65.62,3.90,Urea
4.93,4.45,7.63,5.03,41.41,12.01,26.78,59.38,3.61,Urea
5.18,3.12,7.74,5.31,40.58,12.79,27.81,60.95,3.01,Urea
5.08,3.83,7.73,5.11,40.49,12.68,28.7,66.81,3.55,Urea
5.30,3.12,7.56,5.59,41.72,12.77,27.66,57.65,3.14,Urea
5.03,4.33,7.79,5.10,40.71,12.27,28.29,66.19,3.05,Urea
4.96,3.49,7.97,5.37,40.40,12.59,28.97,58.27,3.75,Urea
5.12,3.17,7.60,5.85,40.46,12.97,27.8,55.25,3.07,Urea
5.39,4.08,7.21,5.57,41.48,12.14,26.95,61.32,3.96,Urea
5.49,4.05,7.25,5.10,41.61,12.44,28.93,58.97,3.30,Urea
5.04,3.12,7.09,5.04,41.65,12.42,27.4,58.8,3.66,Urea
5.07,3.91,7.74,5.34,41.55,12.70,27.27,65.24,3.40,Urea
5.39,4.32,7.88,5.55,41.35,12.94,27.81,60.66,3.46,Urea
5.46,3.12,7.18,5.28,40.18,12.94,26.9,60.12,3.27,Urea
5.15,3.21,7.18,5.94,41.37,12.30,27.58,66.77,3.19,Urea
5.15,4.21,7.07,5.96,41.87,12.00,26.91,60.95,3.96,Urea
4.94,3.38,7.47,5.74,41.35,12.41,28.32,55.75,3.64,Urea
5.19,4.27,7.35,6.00,41.85,12.80,28.92,57.73,3.51,Urea
5.15,4.38,7.73,5.88,40.54,12.15,29.32,65.66,3.19,Urea
5.13,3.13,7.82,5.52,41.32,12.91,29.22,64.25,3.99,Urea
5.15,3.00,7.74,5.74,41.53,12.50,27.83,64.67,3.35,Urea
5.16,3.07,7.63,5.29,41.35,12.72,27.81,60.21,3.17,Urea
5.41,3.24,7.17,5.28,41.76,12.39,29.28,59.46,3.62,Urea
5.05,3.57,8.00,5.40,41.50,12.50,28.89,59.79,3.01,Urea
5.25,3.76,7.25,5.76,40.12,12.75,26.84,66.9,3.45,Urea
5.30,3.41,7.79,5.74,41.10,12.61,28.01,65.86,3.01,Urea
5.41,4.30,7.84,5.89,41.36,12.81,26.86,58.18,3.37,Urea
5.25,4.12,7.13,5.57,41.21,12.32,28.45,59.96,3.29,Urea
5.46,4.08,7.42,5.51,40.41,12.12,27.29,56.37,3.96,Urea
5.27,3.16,7.03,5.34,40.74,12.79,26.81,58.55,3.85,Urea
5.09,3.72,7.55,5.05,40.18,12.35,28.32,61.4,3.90,Urea
4.96,3.91,7.48,5.97,41.90,12.67,28.75,57.07,3.90,Urea
5.09,4.36,7.86,5.78,40.14,12.16,28.06,63.47,3.93,Urea
5.03,3.32,7.14,5.33,40.27,12.32,28.7,65.62,3.95,Urea
5.11,3.23,7.50,5.36,41.44,12.71,29.13,65.78,3.69,Urea
5.06,3.80,7.78,5.23,41.76,12.17,28.15,65.33,3.91,Urea
5.38,3.63,7.89,5.80,40.24,12.28,28.29,66.57,3.32,Urea
5.27,3.68,7.81,5.27,41.37,12.55,27.62,62.27,3.55,Urea
5.06,3.10,7.96,5.28,41.74,12.61,27.68,66.03,3.86,Urea
5.20,3.20,7.70,5.24,40.80,12.82,28.59,59.34,3.69,Urea
5.27,4.20,7.77,5.56,41.35,12.57,28.22,60.33,3.66,Urea
5.35,3.74,7.88,5.78,40.64,12.43,28.27,60.37,3.19,Urea
5.39,3.12,7.53,5.61,41.71,12.94,26.9,66.28,3.66,Urea
4.91,4.03,7.09,5.94,40.57,12.52,27.89,57.07,3.21,Urea
4.90,3.98,7.47,5.88,41.88,12.65,27.81,57.4,3.19,Urea
5.44,4.29,7.42,5.31,41.51,12.16,27.07,56.45,3.86,Urea
5.27,4.27,7.00,5.49,40.26,12.09,27.03,55.58,3.26,Urea
5.08,3.45,7.94,5.32,41.75,12.38,27.5,58.06,3.28,Urea
5.03,3.92,7.09,5.76,40.67,12.52,27.66,65.62,3.79,Urea
5.48,3.71,7.38,5.11,41.76,12.02,28.66,66.98,3.27,Urea
5.19,4.08,7.99,5.51,41.79,12.59,27.93,58.06,3.45,Urea
5.11,3.81,7.81,5.20,41.81,12.38,28.18,57.65,3.85,Urea
5.23,3.12,7.50,5.81,40.50,12.32,26.93,65.33,3.31,Urea
5.14,4.05,7.21,5.52,41.68,12.34,28.36,58.51,3.90,Urea
5.41,3.43,7.78,5.66,40.72,12.77,28.61,61.78,3.16,Urea
5.39,4.17,7.71,5.97,41.67,12.09,27.47,65.74,3.82,Urea
5.45,3.55,7.84,5.58,41.45,12.25,26.99,60.87,3.27,Urea
5.12,3.91,7.48,5.63,40.88,12.25,28.35,63.18,3.18,Urea
5.31,3.85,7.31,5.74,41.18,12.06,26.8,65.91,3.23,Urea
5.05,3.03,7.41,5.05,40.26,12.96,29.04,64.34,3.55,Urea
5.25,3.46,7.43,5.76,40.37,12.08,28.83,57.32,3.10,Urea
4.97,4.29,7.75,5.16,40.89,12.19,28.26,65.57,3.48,Urea
5.34,3.94,7.14,5.07,41.83,12.91,26.85,54.76,3.34,Urea
4.92,3.24,7.81,5.67,40.55,12.34,27.51,66.19,3.22,Urea
5.40,4.48,7.12,5.91,41.87,12.88,29.18,66.19,3.64,Urea
4.92,3.61,7.41,5.30,40.32,12.27,27.64,66.9,3.79,Urea
4.99,3.02,7.71,5.89,41.25,12.52,28.1,66.15,3.29,Urea
5.36,3.04,7.79,5.01,41.11,12.12,26.95,66.19,3.78,Urea
5.06,3.72,7.61,5.43,40.54,12.08,27.56,63.39,3.51,Urea
5.24,3.76,7.40,5.46,40.96,12.71,28.1,66.98,3.67,Urea
5.28,3.06,7.06,5.27,41.58,12.77,29.26,58.89,3.01,Urea
5.25,4.39,7.57,5.97,41.24,12.76,28.55,60.04,3.24,Urea
5.39,3.74,7.32,5.05,41.61,12.42,28.05,56.94,3.46,Urea
5.38,4.45,7.69,5.39,40.30,12.65,27.04,54.71,3.58,Urea
5.36,3.24,7.04,5.65,40.96,12.91,26.91,62.35,3.96,Urea
5.01,3.19,7.97,5.24,40.27,12.21,27.02,63.06,3.50,Urea
4.99,4.13,7.47,5.23,41.75,12.50,27.11,61.94,3.17,Urea
5.24,4.10,7.26,5.21,40.94,12.05,28.91,58.35,3.62,Urea
5.06,4.27,7.92,5.22,41.58,12.58,27.6,61.86,3.18,Urea
5.05,3.07,7.83,5.04,40.51,12.72,28.49,60.12,3.89,Urea
5.28,3.57,7.35,5.61,40.78,12.33,28.63,65.49,3.03,Urea
5.07,3.54,7.07,5.95,41.33,12.24,27.8,60.04,3.02,Urea
4.96,3.75,7.96,5.40,41.46,12.59,27.7,55.79,3.54,Urea
5.20,4.06,7.27,5.15,41.89,12.65,26.77,59.88,3.59,Urea
5.16,3.49,7.68,5.80,41.55,12.23,26.86,62.56,3.02,Urea
4.92,4.05,7.70,5.38,41.49,12.02,26.82,63.88,3.94,Urea
5.23,3.69,7.66,5.41,41.73,12.19,28.29,58.84,3.03,Urea
5.39,3.47,7.38,5.18,40.57,12.23,29.18,57.32,3.01,Urea
5.30,4.16,7.53,5.08,40.11,12.92,28.24,58.06,4.00,Urea
5.32,3.73,7.01,5.65,40.83,12.24,27.38,60.78,3.88,Urea
5.27,3.83,7.09,5.72,41.34,12.94,29.3,63.76,3.99,Urea
5.28,3.26,7.35,5.80,41.44,12.29,28.91,61.12,3.48,Urea
5.32,3.52,7.92,5.74,41.78,12.34,27.56,57.23,3.13,Urea
5.41,4.25,7.91,5.14,40.63,12.59,27.8,64.42,3.81,Urea
5.35,3.76,7.21,5.87,41.33,12.69,27.99,58.18,3.79,Urea
5.39,4.37,7.59,5.76,40.52,12.12,26.77,66.9,3.75,Urea
5.01,3.26,7.77,5.90,40.53,12.64,27.3,64.87,3.15,Urea
5.38,4.20,7.23,5.32,40.96,12.40,29.14,60.12,3.62,Urea
5.41,3.21,7.99,5.61,40.07,12.84,29.02,64.29,3.79,Urea
5.26,3.99,7.86,5.79,40.71,12.78,27.42,57.85,3.37,Urea
4.95,3.15,7.71,5.65,40.60,12.95,28.39,57.07,3.80,Urea
5.08,3.36,7.16,5.87,41.83,12.51,29.09,64.58,3.07,Urea
5.47,3.14,7.14,5.26,40.80,12.26,27.89,61.2,3.90,Urea
5.21,4.28,7.69,5.17,40.15,12.49,28.01,66.48,3.16,Urea
4.94,3.48,7.15,5.79,40.57,12.58,27.16,61.82,3.84,Urea
5.41,3.27,7.62,5.75,41.91,12.94,28.79,60.45,3.90,Urea
5.47,3.16,7.90,5.84,40.06,12.04,27.9,60.54,3.10,Urea
5.43,4.27,7.74,5.26,41.73,12.05,28.18,58.6,3.14,Urea
4.91,3.70,7.53,5.03,40.12,12.17,27.72,64.54,3.32,Urea
5.20,4.21,7.04,5.87,40.28,12.84,28.41,59.17,3.48,Urea
4.74,4.53,6.42,4.05,32.51,10.83,28.96,180.54,2.72,Starch
4.75,4.74,6.03,4.31,32.95,10.54,30.18,180.29,2.77,Starch
4.71,4.10,5.95,4.32,33.71,10.32,30.16,184.96,2.97,Starch
4.76,4.65,5.64,4.12,33.75,10.65,30.27,180.29,2.95,Starch
4.78,4.14,5.95,4.16,33.16,10.46,28.46,181.65,2.85,Starch
4.76,4.61,6.04,4.02,32.55,10.07,28.57,186.2,2.89,Starch
4.76,4.71,6.16,4.24,32.08,10.77,28.95,179.34,2.79,Starch
4.79,4.27,6.34,4.26,32.37,10.46,28.68,182.31,2.87,Starch
4.73,4.48,6.45,4.45,32.48,10.12,29.67,185.29,2.81,Starch
4.75,4.99,5.57,4.16,32.22,10.86,30.01,179.55,2.70,Starch
4.76,4.89,6.37,4.36,32.83,10.38,29.47,178.89,2.92,Starch
4.74,4.05,5.56,4.12,33.34,10.01,29.43,181.65,2.98,Starch
4.75,4.91,6.23,4.39,33.23,10.24,29.56,180.66,2.86,Starch
4.71,4.23,5.67,4.38,33.49,10.29,28.1,185.16,2.77,Starch
4.70,4.61,5.98,4.29,33.80,10.01,29.08,182.77,2.72,Starch
4.79,4.93,5.75,4.18,32.85,10.18,30.29,184.46,2.71,Starch
4.75,4.54,6.35,4.06,33.86,10.56,29.97,179.63,2.94,Starch
4.76,4.86,6.23,4.03,32.66,10.84,28.26,178.97,2.98,Starch
4.72,4.08,5.51,4.07,32.03,10.45,28.72,180.62,2.88,Starch
4.72,4.64,6.42,4.33,33.53,10.50,29.82,182.73,2.73,Starch
4.77,4.14,5.82,4.05,32.35,10.28,28.18,179.55,2.83,Starch
4.76,4.67,6.29,4.49,33.55,10.63,29.32,181.49,2.76,Starch
4.76,4.54,5.73,4.06,32.20,10.78,30.05,185.91,2.80,Starch
4.79,5.00,6.50,4.18,33.90,10.40,29.79,183.35,2.73,Starch
4.75,4.80,6.03,4.22,32.75,10.44,29.87,183.31,2.96,Starch
4.76,4.47,6.10,4.31,32.38,10.79,30.33,178.93,2.77,Starch
4.75,4.87,5.65,4.35,33.21,10.95,29.88,181.49,2.76,Starch
4.76,4.34,5.85,4.40,33.30,10.94,29.43,178.68,2.94,Starch
4.72,4.98,6.38,4.35,32.25,10.28,28.5,182.36,2.85,Starch
4.79,4.14,5.69,4.19,33.20,10.02,28.57,180.75,2.91,Starch
4.70,4.36,5.89,4.36,32.90,10.94,28.84,180.54,2.71,Starch
4.80,4.35,6.30,4.20,32.46,10.71,30.16,181.53,2.96,Starch
4.75,4.42,5.74,4.14,32.53,10.99,30.52,184.54,2.97,Starch
4.75,4.35,6.45,4.03,32.68,10.95,28.33,186.69,2.72,Starch
4.79,4.24,6.18,4.30,32.06,10.91,28.57,182.77,2.76,Starch
4.74,4.57,5.55,4.44,32.84,10.11,29.84,181.74,2.78,Starch
4.78,4.40,5.71,4.36,32.27,10.62,29.09,179.67,2.77,Starch
4.76,4.86,5.54,4.37,32.77,10.53,28.85,186.69,2.83,Starch
4.79,4.40,5.98,4.01,33.13,10.91,29.19,183.14,2.98,Starch
4.74,4.92,5.77,4.05,32.41,10.46,30.05,180.95,2.95,Starch
4.77,4.18,6.20,4.36,32.13,10.59,28.88,186.11,2.83,Starch
4.79,4.12,6.49,4.34,32.34,10.87,28.8,184.34,2.93,Starch
4.80,4.14,6.38,4.41,32.50,10.89,29.9,179.09,2.91,Starch
4.80,4.61,6.15,4.14,33.73,10.84,30.63,181.9,2.75,Starch
4.76,4.79,5.55,4.25,33.73,10.42,29.31,178.97,2.79,Starch
4.77,4.67,6.23,4.43,32.85,10.76,28.27,183.88,2.99,Starch
4.73,4.91,5.56,4.13,32.80,10.92,29.44,182.23,2.91,Starch
4.77,4.72,5.89,4.22,32.87,10.64,28.98,181.41,2.75,Starch
4.74,4.43,6.20,4.05,33.03,10.96,30.56,182.56,2.74,Starch
4.78,4.89,5.62,4.35,32.77,10.93,29.87,179.8,2.75,Starch
4.73,4.79,5.61,4.45,32.95,10.54,28.74,184.67,2.74,Starch
4.72,4.88,6.13,4.10,32.35,10.78,28.91,178.56,2.87,Starch
